/home/allenhaozhu/anaconda3/bin/python /home/allenhaozhu/Downloads/AGC-master/test.py
ACC=0.679718, f1_macro=0.676154, precision_macro=0.696618, recall_macro=0.699204, f1_micro=0.679718, precision_micro=0.679718, recall_micro=0.679718, NMI=0.316200, ADJ_RAND_SCORE=0.303608
ACC=0.679617, f1_macro=0.676078, precision_macro=0.696523, recall_macro=0.699194, f1_micro=0.679617, precision_micro=0.679617, recall_micro=0.679617, NMI=0.316214, ADJ_RAND_SCORE=0.303474
ACC=0.679515, f1_macro=0.675978, precision_macro=0.696413, recall_macro=0.699108, f1_micro=0.679515, precision_micro=0.679515, recall_micro=0.679515, NMI=0.316093, ADJ_RAND_SCORE=0.303323
ACC=0.679769, f1_macro=0.676204, precision_macro=0.696673, recall_macro=0.699247, f1_micro=0.679769, precision_micro=0.679769, recall_micro=0.679769, NMI=0.316260, ADJ_RAND_SCORE=0.303683
ACC=0.679515, f1_macro=0.675978, precision_macro=0.696413, recall_macro=0.699108, f1_micro=0.679515, precision_micro=0.679515, recall_micro=0.679515, NMI=0.316093, ADJ_RAND_SCORE=0.303323
ACC=0.679667, f1_macro=0.676104, precision_macro=0.696562, recall_macro=0.699161, f1_micro=0.679667, precision_micro=0.679667, recall_micro=0.679667, NMI=0.316139, ADJ_RAND_SCORE=0.303533
power: 7 intra_dist: 0.637057318417593 acc_mean: 0.6796622204189278 acc_std: 8.622001318661154e-05 nmi_mean: 0.3161746563708808 nmi_std: 5.925580154105005e-05 f1_mean: 0.6761075629268403 f1_std: 7.683846881593305e-05
ACC=0.681848, f1_macro=0.678151, precision_macro=0.698474, recall_macro=0.701110, f1_micro=0.681848, precision_micro=0.681848, recall_micro=0.681848, NMI=0.318283, ADJ_RAND_SCORE=0.306128
ACC=0.681848, f1_macro=0.678151, precision_macro=0.698474, recall_macro=0.701110, f1_micro=0.681848, precision_micro=0.681848, recall_micro=0.681848, NMI=0.318283, ADJ_RAND_SCORE=0.306128
ACC=0.681848, f1_macro=0.678151, precision_macro=0.698474, recall_macro=0.701110, f1_micro=0.681848, precision_micro=0.681848, recall_micro=0.681848, NMI=0.318283, ADJ_RAND_SCORE=0.306128
ACC=0.681848, f1_macro=0.678172, precision_macro=0.698444, recall_macro=0.701110, f1_micro=0.681848, precision_micro=0.681848, recall_micro=0.681848, NMI=0.318136, ADJ_RAND_SCORE=0.306100
ACC=0.681797, f1_macro=0.678109, precision_macro=0.698363, recall_macro=0.701029, f1_micro=0.681797, precision_micro=0.681797, recall_micro=0.681797, NMI=0.318065, ADJ_RAND_SCORE=0.306048
ACC=0.681848, f1_macro=0.678151, precision_macro=0.698474, recall_macro=0.701110, f1_micro=0.681848, precision_micro=0.681848, recall_micro=0.681848, NMI=0.318283, ADJ_RAND_SCORE=0.306128
ACC=0.681848, f1_macro=0.678151, precision_macro=0.698474, recall_macro=0.701110, f1_micro=0.681848, precision_micro=0.681848, recall_micro=0.681848, NMI=0.318283, ADJ_RAND_SCORE=0.306128
ACC=0.681848, f1_macro=0.678161, precision_macro=0.698459, recall_macro=0.701110, f1_micro=0.681848, precision_micro=0.681848, recall_micro=0.681848, NMI=0.318210, ADJ_RAND_SCORE=0.306114
ACC=0.681848, f1_macro=0.678151, precision_macro=0.698474, recall_macro=0.701110, f1_micro=0.681848, precision_micro=0.681848, recall_micro=0.681848, NMI=0.318283, ADJ_RAND_SCORE=0.306128
ACC=0.681797, f1_macro=0.678100, precision_macro=0.698438, recall_macro=0.701067, f1_micro=0.681797, precision_micro=0.681797, recall_micro=0.681797, NMI=0.318249, ADJ_RAND_SCORE=0.306075
power: 8 intra_dist: 0.6140936771617393 acc_mean: 0.681838007810519 acc_std: 2.0287061926271833e-05 nmi_mean: 0.3182360663985668 nmi_std: 7.309390679988416e-05 f1_mean: 0.6781448011019817 f1_std: 2.13286567851596e-05
